"Part Numbers","Manufacturer","Description","Unit Cost","Currency","Created By","Modified By","ID"
"6ES7590-1BC00-0AA0","Siemens","S7-1500 MOUNTING RAIL 2000mm","104.19","CAD","Bradley, Tyler","Bradley, Tyler","79"
"6GK7343-1EX30-0XE0","Siemens","Communications processor (CP 343-1, TCP/IP interface)","2,180","CAD","Bradley, Tyler","Bradley, Tyler","80"
"6GK7343-1CX10-0XE0","Siemens","(CP 343-1 Lean, TCP/IP interface)","1,887.48","CAD","Bradley, Tyler","Bradley, Tyler","81"
"6ES7540-1AD00-0AA0","Siemens","SIMATIC S7-1500, CM PTP RS232 BA Communication module for Serial connection","553.66","CAD","Bradley, Tyler","Bradley, Tyler","82"
"6ES7902-1AD00-0AA0","Siemens","SIMATIC S7/M7, cable for point-to-point connections RS232C-RS232C 9-pole sub D socket respectively 15 m length","193","CAD","Bradley, Tyler","Bradley, Tyler","83"
"6ES7155-6AU01-0CN0","Siemens","ET200SP PROFINET INTERFACE MODULE (IM)","350.98","CAD","Bradley, Tyler","Bradley, Tyler","84"
"6ES7131-6BF00-0CA0","Siemens","8DI ET200SP INPUT MODULE 24VDC","70","CAD","Bradley, Tyler","Bradley, Tyler","85"
"6ES7131-6BF01-0BA0","Siemens","ET200SP, Digital input module, DI 8x 24V DC","61.09","CAD","Bradley, Tyler","Bradley, Tyler","86"
"6ES7131-6BH01-0BA0","Siemens","16DI ET200SP INPUT MODULE 24VDC","105","CAD","Bradley, Tyler","Bradley, Tyler","87"
"6ES7132-6BD20-0CA0","Siemens","4DO 2.0A ET200SP OUTPUT MODULE 24VDC","100.36","CAD","Bradley, Tyler","Bradley, Tyler","88"
"6ES7132-6BF00-0CA0","Siemens","8DO 0.5A ET200SP OUTPUT MODULE 24VDC","89","CAD","Bradley, Tyler","Bradley, Tyler","89"
"6ES7132-6BF01-0BA0","Siemens","ET 200SP, Digital output module, DQ 8x 24V DC/0,5A Standard","79.12","CAD","Bradley, Tyler","Bradley, Tyler","90"
"6ES7132-6BH01-0BA0","Siemens","16DO 0.5A ET200SP OUTPUT MODULE 24VDC","121","CAD","Bradley, Tyler","Bradley, Tyler","91"
"6ES7132-6HD01-0BB1","Siemens","4RO 5A ET200SP OUTPUT MODULE 24VDC","82","CAD","Bradley, Tyler","Bradley, Tyler","92"
"6ES7134-6JD00-0CA1","Siemens","4RTD/TC 2,3,4-wire HF INPUT ANALOG MODULE","267.7","CAD","Bradley, Tyler","Bradley, Tyler","93"
"6ES7134-6JF00-0CA1","Siemens","8RTD/TC 2,3,4-wire HF INPUT ANALOG MODULE","398.57","CAD","Bradley, Tyler","Bradley, Tyler","94"
"6ES7135-6HD00-0BA1","Siemens"," 4U/I ST OUTPUT ANALOG","267.7","CAD","Bradley, Tyler","Bradley, Tyler","95"
"6ES7136-6DC00-0CA0","Siemens","F-DQ 8XDC 24V0.5A PP","336.44","CAD","Bradley, Tyler","Bradley, Tyler","96"
"6ES7136-6BA01-0CA0","Siemens","8FDI ET200SP FAILSAFE INPUT MODULE 24VDC","260.25","CAD","Bradley, Tyler","Bradley, Tyler","97"
"6ES7136-6DB00-0CA0","Siemens","4FDO 2A ET200SP OUTPUT MODULE 24VDC","301.27","CAD","Bradley, Tyler","Bradley, Tyler","98"
"6ES7136-6RA00-0BF0","Siemens","1FRO 5A ET200SP RELAY OUTPUT MODULE 24VDC, 120-230VAC","132.47","CAD","Bradley, Tyler","Bradley, Tyler","99"
"6ES7193-6AR00-0AA0","Siemens","ET200SP RJ45 BUS ADAPTER FOR IM","67.44","CAD","Bradley, Tyler","Bradley, Tyler","100"
"6ES7193-6BP00-0DA0","Siemens","ET200SP BASE UNIT WITH INFEED CONNECTION","32.42","CAD","Bradley, Tyler","Bradley, Tyler","101"
"6ES7193-6BP00-0BA0","Siemens","ET200SP BASE UNIT NO INFEED CONNECTION","18.38","CAD","Bradley, Tyler","Bradley, Tyler","102"
"6ES7193-6BP20-0BB0","Siemens","ET200SP BASE UNIT FOR RELAY MODULE","25","CAD","Bradley, Tyler","Bradley, Tyler","103"
"6ES7193-6BP20-0BF0","Siemens","ET200SP BASE UNIT FOR FAILSAFE RELAY MODULE","25.22","CAD","Bradley, Tyler","Bradley, Tyler","104"
"6ES7193-6BP20-0DA0","Siemens","ET 200SP, BaseUnit BU15-P16+A10+2D, BU type A0, Push-in terminals","38.61","CAD","Bradley, Tyler","Bradley, Tyler","105"
"6ES7193-6BP20-0DC0","Siemens","ET200SP BASE UNIT FOR ENERGY MODULE","39","CAD","Bradley, Tyler","Bradley, Tyler","106"
"6ES7136-6PA00-0BC0","Siemens","ET 200SP, Powermod. F-PM-E PPM, 24V DC","342","CAD","Bradley, Tyler","Bradley, Tyler","107"
"6ES7193-6BN00-0NE0","Siemens","BaseUnit BU-SEND, for station expansion of ET 200SP","67.46","CAD","Bradley, Tyler","Bradley, Tyler","108"
"6ES7137-6BD00-0BA0","Siemens","ET200SP IO Link Master Module","275","CAD","Bradley, Tyler","Bradley, Tyler","109"
"1734-AENT","Allen-Bradley","1-Port EtherNet I/O Adapter Module","255.1","USD","Bradley, Tyler","Bradley, Tyler","110"
"1734-AENTR","Allen-Bradley","2-Port EtherNet I/O Adapter Module","303.25","USD","Bradley, Tyler","Bradley, Tyler","111"
"1734-IB8","Allen-Bradley","24V DC 8 Channel Sink Input Module","57.7","USD","Bradley, Tyler","Bradley, Tyler","112"
"1734-OB8","Allen-Bradley","24V DC 8 Channel Source Output Module","65.08","USD","Bradley, Tyler","Bradley, Tyler","113"
"1734-IE2C","Allen-Bradley","Point I/O - 2 Channel analog input module","152.27","USD","Bradley, Tyler","Bradley, Tyler","114"
"1734-IB8S","Allen-Bradley","Point I/O - 8 point SAFETY input module","240.24","USD","Bradley, Tyler","Bradley, Tyler","115"
"1734-OB8S","Allen-Bradley","Point I/O - 8 point SAFETY output module","279.26","USD","Bradley, Tyler","Bradley, Tyler","116"
"1734-TOP","Allen-Bradley","POINT I/O One-piece Terminal Base with Screw Clamp, 8 Terminations","8.68","USD","Bradley, Tyler","Bradley, Tyler","117"
"1734-TOP3","Allen-Bradley","POINT I/O One-piece Terminal Base with Screw Clamp, 12 Terminations","11.75","USD","Bradley, Tyler","Bradley, Tyler","118"
"1734-TOPS","Allen-Bradley","POINT I/O One-piece Terminal Base with Spring Clamp, 8 Terminations","8.68","USD","Bradley, Tyler","Bradley, Tyler","119"
"1734-TOP3S","Allen-Bradley","POINT I/O One-piece Terminal Base with Spring Clamp, 12 Terminations","11.75","USD","Bradley, Tyler","Bradley, Tyler","120"
"1732E-IB16M12R","Allen-Bradley","1732 ArmorBlock EtherNet/IP, EtherNet/IP, Input Module, 16 Sink Inputs (Source Load), Dual-Port, DC Micro (M12), Without CIP SYNC Input, Without Diagnostics, Dual Port","486.13","USD","Bradley, Tyler","Bradley, Tyler","121"
"1732E-16CFGM12R","Allen-Bradley","	1732 ArmorBlock EtherNet/IP, EtherNet/IP, Self-Configuring, 16 Self-Configuring, Dual-Port, DC Micro (M12), Without CIP SYNC Input, Without Diagnostics, Dual Port","569.32","USD","Bradley, Tyler","Bradley, Tyler","122"
"1732E-16CFGM12QCR","Allen-Bradley","1732 ArmorBlock EtherNet/IP, EtherNet/IP, Self-Configuring, 16 Self-Configuring, Dual-Port, Quick Connect, DC Micro (M12), Without CIP SYNC Input, Without Diagnostics, Dual Port","617.73","USD","Bradley, Tyler","Bradley, Tyler","123"
"6ES7194-4CB50-0AA0","Siemens","SIMATIC DP Connection Module, 16 DI 24 V DC, 4 DIO/DO 24 V DC/0.5A, ET 200 PRO, 8xM12 Connectors","92","USD","Bradley, Tyler","Bradley, Tyler","124"
"6ES7516-2GP03-0AB0","Siemens","SIMATIC DP, CPU 1516pro F-2 PN for ET 200pro, central processing unit with work memory 3 MB for program and 7.5 MB for data, 1st interface: PROFINET IRT with 3-port switch, 2nd interface: PROFINET RT, 6 ns bit performance, degree of protection: IP65/67, SIMATIC Memory Card required, connection module required","5,098.70","CAD","Bradley, Tyler","Bradley, Tyler","125"
"6ES7154-8FX00-0AB0","Siemens","ET200 PRO IM154-8F PN/DP PLC WITH 1.5 MB WORKING MEMORY","4,864.94","CAD","Bradley, Tyler","Bradley, Tyler","126"
"6ES7154-8FB01-0AB0","Siemens","ET200 PRO IM154-8F PN/DP PLC WITH 512 kB WORKING MEMORY","2,498.12","CAD","Bradley, Tyler","Bradley, Tyler","127"
"6ES7154-8AB01-0AB0","Siemens","ET200 PRO IM154-8 PN/DP PLC WITH 348 kB WORKING MEMORY","4,080","CAD","Bradley, Tyler","Bradley, Tyler","128"
"6ES7154-4AB10-0AB0","Siemens","ET200 PRO PROFINET INTERFACE MODULE","388","CAD","Bradley, Tyler","Bradley, Tyler","129"
"6ES7194-4AJ00-0AA0","Siemens","IM CONNECTION MODULE","92","CAD","Bradley, Tyler","Bradley, Tyler","130"
"6ES7142-4BF00-0AA0","Siemens","ET200 PRO 8 DO 24 V DC, 0.5 A Module diagnostics;","118","CAD","Bradley, Tyler","Bradley, Tyler","131"
"6ES7141-4BF00-0AB0","Siemens","ET200 PRO 8 DI INPUT MODULE 24VDC","157","CAD","Bradley, Tyler","Bradley, Tyler","132"
"6ES7141-4BH00-0AA0","Siemens","ET200 PRO 16 DI INPUT MODULE 24VDC","131","USD","Bradley, Tyler","Bradley, Tyler","133"
"6ES7142-4BD00-0AB0","Siemens","4DO ET200 PRO INPUT MODULE 24VDC","138","CAD","Bradley, Tyler","Bradley, Tyler","134"
"6ES7148-4FA00-0AB0","Siemens","8/16FDI ET200 PRO FAILSAFE INPUT MODULE 24VDC","621.47","CAD","Bradley, Tyler","Bradley, Tyler","135"
"6ES7148-4FC00-0AB0","Siemens","4/8FDI 4FDO ET200 PRO FAILSAFE INPUT/OUTPUT MODULE 24VDC","741","CAD","Bradley, Tyler","Bradley, Tyler","136"
"6ES7148-4FS00-0AB0","Siemens","ET200 PRO F-SWITCH MODULE 24VDC","481.8","CAD","Bradley, Tyler","Bradley, Tyler","137"
"6ES7148-4EA00-0AA0","Siemens","ET200PRO, 16DO,Pneumatic Interface CPV10","366.72","USD","Bradley, Tyler","Bradley, Tyler","138"
"6ES7148-4EB00-0AA0","Siemens","ET200PRO, 16DO,Pneumatic Interface CPV14","303.35","USD","Bradley, Tyler","Bradley, Tyler","139"
"3RK1304-0HS00-6AA0","Siemens","ET200 PRO LOCAL MOTOR REPAIR SWITCH","426","CAD","Bradley, Tyler","Bradley, Tyler","140"
"3RK1911-2BE10","Siemens","CONNECTOR SET 4mm2","61","CAD","Bradley, Tyler","Bradley, Tyler","141"
"3RK1911-2BE30","Siemens","5 CONTACT SOCKETS 6MM2","61.15","USD","Bradley, Tyler","Bradley, Tyler","142"
"3RK1911-2BE50","Siemens","Socket insert Han Q4/2 5 contact sockets 2.5 mm2","61","USD","Bradley, Tyler","Bradley, Tyler","143"
"3RK1304-5KS40-2AA0","Siemens","ET200 PRO STARTER W/O BRAKE 0.15-2A","649.62","CAD","Bradley, Tyler","Bradley, Tyler","144"
"3RK1304-5KS40-2AA3","Siemens","ET200 PRO STARTER W/ BRAKE 0.15-2A","728.14","CAD","Bradley, Tyler","Bradley, Tyler","145"
"3RK1304-5LS40-2AA0","Siemens","ET200 PRO STARTER W/O BRAKE 1.5-12A","684.12","CAD","Bradley, Tyler","Bradley, Tyler","146"
"3RK1304-5LS40-2AA3","Siemens","ET200 PRO STARTER W/ BRAKE 1.5-12A","762.64","CAD","Bradley, Tyler","Bradley, Tyler","147"
"3RK1304-5KS40-5AA0","Siemens","ET200 PRO REVERSING STARTER W/O BRAKE 0.15-2A","563.95","CAD","Bradley, Tyler","Bradley, Tyler","148"
"3RK1304-5KS40-3AA3","Siemens","ET200 PRO REVERSING STARTER W/ BRAKE 0.15-2A","810.23","CAD","Bradley, Tyler","Bradley, Tyler","149"
"3RK1304-5LS40-3AA0","Siemens","ET200 PRO REVERSING STARTER W/O BRAKE 1.5-12A","762.64","CAD","Bradley, Tyler","Bradley, Tyler","150"
"3RK1304-5LS40-3AA3","Siemens","ET200 PRO REVERSING STARTER W/ BRAKE 1.5-12A","844.74","CAD","Bradley, Tyler","Bradley, Tyler","151"
"3RK1308-0CB00-0CP0","Siemens","Fail-safe direct-on-line starter High Feature","389.06","CAD","Bradley, Tyler","Bradley, Tyler","152"
"3RK1908-0AP00-0EP0","Siemens","Base unit (BU30-MS5) with F-DI For ET 200SP motor starter","163","CAD","Bradley, Tyler","Bradley, Tyler","153"
"3RK1922-2BQ00","Siemens","POWER JUMPER PLUG","88","CAD","Bradley, Tyler","Bradley, Tyler","154"
"6ES7194-4DA00-0AA0","Siemens","ET200 PRO TERMINAL MODULE FOR F-SWITCH","58","CAD","Bradley, Tyler","Bradley, Tyler","155"
"6ES7194-4CB00-0AA0","Siemens","ET200 PRO TERMINAL MODULE FOR DI","59","CAD","Bradley, Tyler","Bradley, Tyler","156"
